ID_Uzorka;GPS_LAT;GPS_LONG
1;18,478772;77,410535
2;18,470959;77,390025
3;18,48517;77,384089
4;18,486231;77,407756
5;18,487099;77,383031
6;18,480937;77,398417
7;18,474963;77,391523
8;18,495974;77,396866
9;18,466877;77,372452
10;18,473005;77,4188
11;18,481161;77,392038
12;18,46792;77,388105
13;18,479817;77,391705
14;18,471394;77,391361
15;18,455885;77,393672
16;18,492149;77,406686
17;18,497118;77,382183
18;18,464447;77,381272
19;18,487242;77,38795
20;18,494541;77,380746
21;18,463245;77,412346
22;18,494055;77,384216
23;18,468457;77,38818
24;18,486237;77,395764
25;18,467323;77,375507
26;18,463917;77,388272
27;18,476638;77,376759
28;18,48161;77,389245
29;18,485463;77,39083
30;18,478367;77,412388
31;18,477012;77,402029
32;18,462651;77,387735
33;18,468196;77,392477
34;18,476413;77,391727
35;18,489584;77,381874
36;18,486441;77,404376
37;18,49644;77,387528
38;18,496001;77,408485
39;18,505131;77,394025
40;18,485066;77,389571
41;18,465405;77,389088
42;18,469023;77,387218
43;18,473137;77,39731
44;18,470295;77,397043
45;18,485912;77,382968
46;18,48025;77,400762
47;18,472091;77,390867
48;18,471617;77,379329
49;18,479086;77,398505
50;18,49273;77,372515
51;18,496539;77,397848
52;18,480483;77,386479
53;18,479372;77,388734
54;18,487974;77,385498
55;18,471377;77,399542
56;18,484963;77,386228
57;18,468409;77,391417
58;18,480075;77,389857
59;18,469559;77,4018
60;18,480009;77,396475
61;18,479061;77,400553
62;18,488618;77,399508
63;18,484994;77,382393
64;18,481886;77,397835
65;18,483908;77,378093
66;18,497121;77,383161
67;18,465992;77,384307
68;18,482051;77,381764
69;18,497013;77,395122
70;18,484502;77,394361
71;18,491663;77,406237
72;18,481044;77,390088
73;18,473112;77,38428
74;18,473539;77,382754
75;18,482105;77,39481
76;18,491993;77,382674
77;18,492648;77,390513
78;18,489472;77,381708
79;18,478322;77,404207
80;18,481964;77,385445
81;18,465016;77,390474
82;18,486307;77,378608
83;18,479202;77,37082
84;18,496609;77,382995
85;18,490587;77,396964
86;18,478793;77,380677
87;18,468699;77,392208
88;18,473613;77,399396
89;18,480652;77,401694
90;18,477159;77,395445
91;18,48245;77,393443
92;18,479464;77,412707
93;18,499365;77,384972
94;18,475929;77,387454
95;18,474559;77,388793
96;18,472042;77,365208
97;18,474765;77,389216
98;18,478639;77,390523
99;18,488127;77,375064
100;18,463697;77,384132
101;18,463439;77,399773
102;18,49622;77,389075
103;18,47292;77,382026
104;18,490221;77,397614
105;18,47973;77,399677
106;18,484776;77,384339
107;18,468514;77,379288
108;18,496133;77,386466
109;18,494274;77,379562
110;18,461349;77,370483
111;18,478913;77,397397
112;18,483872;77,385415
113;18,497778;77,391642
114;18,468402;77,379132
115;18,497158;77,376218
116;18,483029;77,391709
117;18,465391;77,390763
118;18,482018;77,39963
119;18,478354;77,401935
120;18,485791;77,390548
121;18,470692;77,377065
122;18,462732;77,384382
123;18,470026;77,380738
124;18,471192;77,383184
125;18,477557;77,403725
126;18,471066;77,381902
127;18,485425;77,390696
128;18,475128;77,38555
129;18,472909;77,414072
130;18,476648;77,404442
131;18,477791;77,386378
132;18,4794;77,390874
133;18,457236;77,394406
134;18,465331;77,378698
135;18,462428;77,384259
136;18,479467;77,356986
137;18,491315;77,382871
138;18,479975;77,386423
139;18,475563;77,387164
140;18,49351;77,373122
141;18,492891;77,387085
142;18,480375;77,401665
143;18,482092;77,390557
144;18,481278;77,388658
145;18,48026;77,389071
146;18,47436;77,392227
147;18,482067;77,377574
148;18,494886;77,374196
149;18,482583;77,396081
150;18,477078;77,39846
151;18,478317;77,416231
152;18,499062;77,39893
153;18,469709;77,396236
154;18,465502;77,382687
155;18,480003;77,381646
156;18,49604;77,39853
157;18,491297;77,378541
158;18,500493;77,396167
159;18,491193;77,39637
160;18,477478;77,393093
161;18,487012;77,397999
162;18,478714;77,388429
163;18,482753;77,3689
164;18,478836;77,394137
165;18,479016;77,389435
166;18,460539;77,393754
167;18,486209;77,385948
168;18,477464;77,385967
169;18,481201;77,391046
170;18,474236;77,422692
171;18,491297;77,408373
172;18,478682;77,385031
173;18,466318;77,405385
174;18,478572;77,387292
175;18,487628;77,395436
176;18,471353;77,392402
177;18,471842;77,386107
178;18,489749;77,385491
179;18,466771;77,378688
180;18,472172;77,386044
181;18,464862;77,393581
182;18,500292;77,389494
183;18,473877;77,383624
184;18,477913;77,382511
185;18,466509;77,412627
186;18,471943;77,392284
187;18,460195;77,376286
188;18,459295;77,380094
189;18,477625;77,37639
190;18,487099;77,382904
